Company,Review Date,Cocoa Percentage,Company Location,Rating,Bean Origin,Broad Bean Origin,Bean Type
Cacao Atlanta,2014,0.75,U.S.A.,2.5,Tumbes,Peru,Criollo
Cacao Atlanta,2010,0.75,U.S.A.,2.5,Dominican Republic,Dominican Republic,Unknown
Cacao Atlanta,2010,0.75,U.S.A.,2.75,Dominican Republic,Dominican Republic,Unknown
Cacao Atlanta,2010,0.75,U.S.A.,2.25,Patanemo,Venezuela,Unknown
Chocolarder,2015,0.65,U.K.,2.5,Peru,Peru,Criollo
Chocolarder,2015,0.65,U.K.,2.75,Peru,Peru,Criollo
Chocolarder,2015,0.8,U.K.,2.5,Dominican Republic,Dominican Republic,Unknown
Ethel's Artisan (Mars),2011,0.55,U.S.A.,2.5,Peru,Peru,Unknown
Ethel's Artisan (Mars),2011,0.55,U.S.A.,2.5,Trinidad,Trinidad,Trinitario
Ethel's Artisan (Mars),2011,0.7,U.S.A.,2.5,Porcelana,Venezuela,Criollo
Ethel's Artisan (Mars),2011,0.62,U.S.A.,2.75,Red Vanilla,Unknown,Unknown
Ethel's Artisan (Mars),2011,0.62,U.S.A.,2.5,Venezuela,Venezuela,Unknown
Neuhaus (Callebaut),2010,0.7,Belgium,2.5,Papua New Guinea,Papua New Guinea,Criollo
Neuhaus (Callebaut),2008,0.67,Belgium,3.75,Manickchand Estate,Trinidad,Trinitario
Neuhaus (Callebaut),2007,0.73,Belgium,1.0,Dark,Unknown,Unknown
Neuhaus (Callebaut),2006,0.73,Belgium,2.0,West Africa,West Africa,Forastero
Neuhaus (Callebaut),2006,0.75,Belgium,2.75,Sao Tome,Sao Tome,Forastero
Neuhaus (Callebaut),2006,0.71,Belgium,3.0,Ocumare,Venezuela,Criollo
Olivia,2011,0.76,Canada,2.0,Carribean,Carribean,Unknown
Olivia,2011,0.76,Canada,2.75,Carribean,Carribean,Unknown
Olivia,2011,0.85,Canada,2.75,Carribean,Carribean,Unknown
Olivia,2011,0.85,Canada,3.0,Carribean,Carribean,Unknown
Snake & Butterfly,2011,0.67,U.S.A.,1.5,Ghana,Ghana,Forastero
Snake & Butterfly,2010,0.68,U.S.A.,3.0,Madagascar,Madagascar,Trinitario
Snake & Butterfly,2010,0.68,U.S.A.,3.25,Ecuador,Ecuador,Unknown
StRita Supreme,2012,0.65,U.S.A.,2.5,Samar,Philippines,Unknown
StRita Supreme,2012,0.7,U.S.A.,2.5,Samar,Philippines,Unknown
StRita Supreme,2012,0.75,U.S.A.,2.75,Samar,Philippines,Unknown
TCHO,2016,0.62,U.S.A.,2.0,West Africa,West Africa,Forastero
TCHO,2012,0.99,U.S.A.,3.25,Peru,Peru,Unknown
TCHO,2009,0.6,U.S.A.,2.75,TCHOPro,Unknown,Unknown
TCHO,2009,0.68,U.S.A.,3.0,TCHOPro,Unknown,Unknown
TCHO,2008,0.7,U.S.A.,2.5,Chocolatey-beta,Ghana,Forastero
TCHO,2008,0.7,U.S.A.,2.5,Fruity-beta,Peru,Unknown
TCHO,2008,0.7,U.S.A.,2.75,Citrus-beta,Madagascar,Unknown
TCHO,2008,0.7,U.S.A.,2.5,Nutty-beta,Peru,Unknown
Vintage Plantations (Tulicorp),2007,1.0,U.S.A.,2.0,Los Rios,Ecuador,Forastero
Vintage Plantations (Tulicorp),2007,0.9,U.S.A.,2.0,Los Rios,Ecuador,Forastero
Vintage Plantations (Tulicorp),2007,0.75,U.S.A.,3.0,Los Rios,Ecuador,Forastero
Vintage Plantations (Tulicorp),2007,0.65,U.S.A.,3.0,Los Rios,Ecuador,Forastero
Vivra,2016,0.7,U.S.A.,2.5,Peru,Peru,Unknown
Vivra,2016,0.7,U.S.A.,2.5,Ocumare,Venezuela,Unknown
Vivra,2016,0.7,U.S.A.,3.0,Dominican Republic,Dominican Republic,Unknown
