Company,Review Date,Cocoa Percentage,Company Location,Rating,Bean Origin,Broad Bean Origin,Bean Type
A. Morin,2016,0.63,France,3.75,Agua Grande,Sao Tome,Unknown
A. Morin,2015,0.7,France,2.75,Kpime,Togo,Unknown
A. Morin,2015,0.7,France,3.0,Atsane,Togo,Unknown
A. Morin,2015,0.7,France,3.5,Akata,Togo,Unknown
A. Morin,2015,0.7,France,3.5,Quilla,Peru,Unknown
A. Morin,2014,0.7,France,2.75,Carenero,Venezuela,Criollo
A. Morin,2014,0.7,France,3.5,Cuba,Cuba,Unknown
A. Morin,2014,0.7,France,3.5,Sur del Lago,Venezuela,Criollo
A. Morin,2014,0.7,France,3.75,Puerto Cabello,Venezuela,Criollo
A. Morin,2014,0.7,France,4.0,Pablino,Peru,Unknown
A. Morin,2013,0.7,France,2.75,Panama,Panama,Unknown
A. Morin,2013,0.7,France,3.0,Madagascar,Madagascar,Criollo
A. Morin,2013,0.7,France,3.25,Brazil,Brazil,Unknown
A. Morin,2013,0.7,France,3.75,Equateur,Ecuador,Unknown
A. Morin,2013,0.7,France,2.75,Colombia,Colombia,Unknown
A. Morin,2013,0.7,France,3.0,Birmanie,Burma,Unknown
A. Morin,2013,0.7,France,3.25,Papua New Guinea,Papua New Guinea,Unknown
A. Morin,2013,0.7,France,4.0,Chuao,Venezuela,Trinitario
A. Morin,2013,0.7,France,3.25,Piura,Peru,Unknown
A. Morin,2013,0.7,France,3.5,Chanchamayo,Peru,Unknown
A. Morin,2013,0.63,France,4.0,Chanchamayo,Peru,Unknown
A. Morin,2012,0.7,France,3.5,Bolivia,Bolivia,Unknown
A. Morin,2012,0.63,France,3.75,Peru,Peru,Unknown
Adi,2011,0.6,Fiji,2.75,Vanua Levu,Fiji,Trinitario
Adi,2011,0.8,Fiji,3.25,Vanua Levu,Fiji,Trinitario
Adi,2011,0.88,Fiji,3.5,Vanua Levu,Fiji,Trinitario
Adi,2011,0.72,Fiji,3.5,Vanua Levu,Fiji,Trinitario
Akesson's (Pralus),2011,0.75,Switzerland,3.75,Bali,Indonesia,Trinitario
Akesson's (Pralus),2010,0.75,Switzerland,2.75,Madagascar,Madagascar,Criollo
Akesson's (Pralus),2010,0.75,Switzerland,2.75,Monte Alegre,Brazil,Forastero
Alain Ducasse,2014,0.65,France,2.75,Trinite,Trinidad,Trinitario
Alain Ducasse,2014,0.75,France,2.75,Vietnam,Vietnam,Trinitario
Alain Ducasse,2014,0.75,France,3.0,Madagascar,Madagascar,Trinitario
Alain Ducasse,2013,0.75,France,2.5,Chuao,Venezuela,Trinitario
Alain Ducasse,2013,0.75,France,2.5,Piura,Peru,Unknown
Alexandre,2017,0.7,Netherlands,3.5,Winak,Ecuador,Forastero
Alexandre,2017,0.7,Netherlands,3.5,La Dalia,Nicaragua,Criollo
Alexandre,2017,0.7,Netherlands,3.5,Tien Giang,Vietnam,Trinitario
