Company,Review Date,Cocoa Percentage,Company Location,Rating,Bean Origin,Broad Bean Origin,Bean Type
Amedei,2012,0.7,Italy,3.75,Piura,Peru,Unknown
Amedei,2007,0.7,Italy,4.0,Porcelana,Venezuela,Criollo
Amedei,2007,0.75,Italy,4.0,Nine,Unknown,Blend
Amedei,2007,0.7,Italy,5.0,Chuao,Venezuela,Trinitario
Amedei,2007,0.7,Italy,3.0,Ecuador,Ecuador,Trinitario
Amedei,2007,0.7,Italy,3.0,Jamaica,Jamaica,Trinitario
Amedei,2007,0.7,Italy,3.5,Grenada,Grenada,Trinitario
Amedei,2007,0.7,Italy,3.75,Venezuela,Venezuela,Trinitario
Amedei,2007,0.7,Italy,4.0,Madagascar,Madagascar,Trinitario
Amedei,2007,0.7,Italy,3.5,Trinidad,Trinidad,Trinitario
Amedei,2007,0.63,Italy,3.5,Toscano Black,Unknown,Blend
Amedei,2006,0.7,Italy,5.0,Toscano Black,Unknown,Blend
Amedei,2006,0.66,Italy,4.0,Toscano Black,Unknown,Blend
Bar Au Chocolat,2015,0.7,U.S.A.,3.5,Bahia,Brazil,Unknown
Bar Au Chocolat,2014,0.7,U.S.A.,4.0,Maranon,Peru,Forastero
Bar Au Chocolat,2012,0.7,U.S.A.,3.25,Duarte,Dominican Republic,Unknown
Bar Au Chocolat,2012,0.7,U.S.A.,3.5,Chiapas,Mexico,Unknown
Bar Au Chocolat,2012,0.7,U.S.A.,3.75,Sambirano,Madagascar,Trinitario
Benoit Nihant,2013,0.74,Belgium,3.5,Baracoa,Cuba,Trinitario
Benoit Nihant,2013,0.74,Belgium,3.5,Chuao,Venezuela,Criollo
Benoit Nihant,2013,0.74,Belgium,3.5,Cuyagua,Venezuela,Criollo
Benoit Nihant,2013,0.73,Belgium,4.0,Rio,Ecuador,Trinitario
Benoit Nihant,2011,0.72,Belgium,4.0,Bali,Indonesia,Trinitario
Benoit Nihant,2011,0.72,Belgium,3.75,Somia,Madagascar,Trinitario
Cacao Sampaka,2016,0.7,Spain,3.5,Mahali,Congo,Criollo
Cacao Sampaka,2010,0.71,Spain,3.5,Madagascar,Madagascar,Trinitario
Cacao Sampaka,2010,0.71,Spain,3.75,Ecuador,Ecuador,Unknown
Cacao Sampaka,2010,0.71,Spain,4.0,Papua New Guinea,Papua New Guinea,Unknown
Cacao Sampaka,2010,0.71,Spain,3.25,Grenada,Grenada,Trinitario
Cacao Sampaka,2010,0.71,Spain,3.5,Venezuela,Venezuela,Unknown
Cacao Sampaka,2010,0.77,Spain,3.5,Venezuela,Venezuela,Unknown
Cacao Sampaka,2009,0.7,Spain,4.0,Porcelana,Mexico,Criollo
Cacao Sampaka,2009,0.7,Spain,4.0,Xoconusco,Mexico,Criollo
Franceschi,2014,0.7,Venezuela,3.5,Choroni,Venezuela,Unknown
Franceschi,2014,0.7,Venezuela,3.75,Ocumare,Venezuela,Unknown
Franceschi,2012,0.7,Venezuela,3.75,Canoabo,Venezuela,Unknown
Franceschi,2012,0.6,Venezuela,3.5,Sur del Lago,Venezuela,Unknown
Idilio (Felchlin),2013,0.72,Switzerland,3.75,Chuao,Venezuela,Trinitario
Idilio (Felchlin),2011,0.72,Switzerland,3.75,Coopertiva Amazona,Venezuela,Criollo
Idilio (Felchlin),2011,0.72,Switzerland,3.75,Sur del Lago,Venezuela,Unknown
Idilio (Felchlin),2011,0.72,Switzerland,3.25,Choroni,Venezuela,Criollo
Idilio (Felchlin),2011,0.72,Switzerland,3.75,Ocumare,Venezuela,Criollo
Idilio (Felchlin),2011,0.74,Switzerland,4.0,Porcelana,Venezuela,Criollo
Idilio (Felchlin),2011,0.72,Switzerland,3.5,Ocumare,Venezuela,Criollo
Idilio (Felchlin),2011,0.7,Switzerland,4.0,Carenero,Venezuela,Trinitario
Idilio (Felchlin),2011,0.72,Switzerland,4.0,Coopertiva Amazona,Venezuela,Criollo
Idilio (Felchlin),2011,0.72,Switzerland,4.0,Sur del Lago,Venezuela,Unknown
Just Good Chocolate,2014,0.7,U.S.A.,3.5,Belize,Belize,Trinitario
Just Good Chocolate,2014,0.7,U.S.A.,3.5,Madagascar,Madagascar,Trinitario
Just Good Chocolate,2014,0.7,U.S.A.,4.0,Peru,Peru,Unknown
Madecasse (Cinagra),2008,0.67,Madagascar,3.5,Madagascar,Madagascar,Trinitario
Madecasse (Cinagra),2008,0.7,Madagascar,3.75,Madagascar,Madagascar,Trinitario
Madecasse (Cinagra),2008,0.63,Madagascar,4.0,Madagascar,Madagascar,Trinitario
Madecasse (Cinagra),2008,0.75,Madagascar,3.5,Madagascar,Madagascar,Trinitario
Matale,2013,0.72,Australia,3.5,Malekula,Vanuatu,Trinitario
Matale,2013,0.68,Australia,4.0,Somia,Madagascar,Trinitario
Matale,2013,0.74,Australia,4.0,Kulili,Papua New Guinea,Trinitario
Matale,2013,0.7,Australia,3.75,Blend,Papua New Guinea,Trinitario
Patric,2011,0.7,U.S.A.,3.75,Signature Blend,Unknown,Blend
Patric,2009,0.75,U.S.A.,4.0,Madagascar,Madagascar,Trinitario
Patric,2009,0.67,U.S.A.,3.5,Madagascar,Madagascar,Trinitario
Patric,2009,0.7,U.S.A.,3.5,Rio,Venezuela,Trinitario
Patric,2007,0.7,U.S.A.,4.0,Madagascar,Madagascar,Trinitario
Patric,2013,0.67,U.S.A.,4.0,Piura,Peru,Unknown
